param_id,name,symbol,units,value,uncertainty_type,uncertainty_value,subsystem,source_tier,citation,doi,extraction_method,species,sex,entered_by,date_entered,notes
RN.URINE.SOLUTE_LOAD,Daily urinary solute excretion,Osm_load,mOsm/day,600.0,none,,renal,C,,,assumed,human,both,claude-session6,2026-08-25,"ASSUMED and NOT SOURCED, and it is the load-bearing assumption of the ADH component - urine volume is this divided by urine osmolality, so it scales the whole water-excretion limb. 600 mOsm/day is a conventional adult figure. It is HELD CONSTANT, which is itself a modelling choice: in reality it tracks protein and salt intake, so a salt step should move it and here it does not. That omission makes the model under-respond to a salt load on the water side. Source it, and consider making it depend on Na_excr, before trusting any water result under a changed diet."
RN.URINE.OSM_PER_NA,Urinary osmoles per mEq of sodium excreted,osm_Na,mOsm/mEq,2.0,none,,renal,B,"Imamura T, Kinugawa K, Minatsuki S, Muraoka H, Kato N, Inaba T, Maki H, Shiga T, Hatano M, Yao A, Kyo S, Komuro I. Urine osmolality estimated using urine urea nitrogen, sodium and creatinine can effectively predict response to tolvaptan in decompensated heart failure patients. Circ J 2013;77(5):1208-1213. PMID 23318562. The validated estimator carries urine sodium with a coefficient of 2.",10.1253/circj.cj-12-1328,reported,human,both,sprint2,2026-08-27,"THE COEFFICIENT IS ELECTRONEUTRALITY, NOT A FITTED CONSTANT. Every sodium ion leaving in the urine leaves with an accompanying anion, predominantly chloride, so one mEq of excreted sodium contributes approximately two milliosmoles - one for the cation and one for the anion. That is why the standard urine osmolality estimators all carry urine sodium with a coefficient of 2. WHAT THE CITATION ACTUALLY SUPPLIES. Imamura 2013 validated the whole estimator 1.07*(2*[urine Na] + [urine urea nitrogen]/2.8 + [urine creatinine]*2/3) + 16 against MEASURED urine osmolality in 66 patients and reports r = 0.938, p < 0.001. The paper does not measure this coefficient; it measures that a formula containing it reproduces the real thing. That is the honest description of the evidence and is why this row is tier B rather than A. DECLARED LIMITATION OF THE COHORT: decompensated heart failure patients receiving tolvaptan, i.e. a diseased population under a V2 antagonist. Directive 1.7 test - had the correlation come out poorly, the conclusion would have been that estimated urine osmolality cannot predict tolvaptan response, so the composition relation is the INSTRUMENT there and not the subject. It is accepted anyway because the coefficient is not an empirical finding of that paper but a charge-balance requirement, and the validation is corroboration that the requirement holds in real urine. INDEPENDENT CORROBORATION OF THE STRUCTURE, not pooled with it: Alwis US, Delanghe J, Dossche L, Walle JV, Van Camp J, Monaghan TF, Roggeman S, Everaert K. Could evening dietary protein intake play a role in nocturnal polyuria? J Clin Med 2020;9(8):2532. PMID 32764521. 170 subjects, 24 h collections in 8 timed samples with volume, osmolality, creatinine, urea and sodium all measured; reports urea as the largest single contributor to urine osmolality with sodium excretion the other major term. That is the two-part structure this row and RN.URINE.SOLUTE_NONNA implement."
RN.URINE.SOLUTE_NONNA,"Non-sodium urinary solute load, held constant",Osm_nonNa,mOsm/day,292.0,none,,renal,C,"Derived from RN.URINE.SOLUTE_LOAD, RN.URINE.OSM_PER_NA and BF.NA.INTAKE_MID.",,derived,human,both,sprint2,2026-08-27,"DERIVED, and it is a RESIDUAL rather than a measurement: SOLUTE_NONNA = RN.URINE.SOLUTE_LOAD - RN.URINE.OSM_PER_NA * BF.NA.INTAKE_MID = 600.0 - 2.0 * 154.0 = 292.0 mOsm/day. It stands for urea plus potassium salts plus everything else, all held constant. WHY IT IS DEFINED THIS WAY. RN.URINE.SOLUTE_LOAD is load-bearing: ADH.URINE.OSM_MAX, ADH.URINE.OSM_BASELINE and ADH.OSM.SENSITIVITY are all derived from it and four closure checks depend on it. Making the solute load track sodium must therefore leave the REFERENCE load untouched, or every derived ADH constant and every steady state moves. Pinning the residual so that total load returns exactly 600.0 at the mid salt arm (154 mEq/day) achieves that: the mid arm is unchanged to the last digit and only the high and low arms move. INHERITED DEBT, STATED PLAINLY: 292 mOsm/day is almost certainly TOO LOW for the non-sodium fraction. Urea alone is normally the largest single contributor to urine osmolality (Alwis 2020) and potassium salts add roughly another 100-120 mOsm/day, so a real non-sodium remainder on a Western diet is nearer 400-500. The residual is small because the parent RN.URINE.SOLUTE_LOAD = 600 mOsm/day is itself an unsourced conventional figure that is low for a 154 mEq/day sodium intake - typical measured totals are 700-900. THIS ROW DOES NOT FIX THAT AND MUST NOT BE READ AS FIXING IT. Correcting the total would move U_max, U_base, k_adh and every steady state, and needs its own pre-registered extraction. What this row does is make the load RESPOND to salt, which it previously did not do at all. Tier C, inherited from the parent."
CIRC.RENAL_NA.ENDOGENEITY_MARKER,Marker: the urinary sodium rhythm persists under constant routine,,unitless,1.0,none,,circadian,A,"el-Hajj Fuleihan G, Klerman EB, Brown EN, Choe Y, Brown EM, Czeisler CA. The parathyroid hormone circadian rhythm is truly endogenous - a general clinical research center study. J Clin Endocrinol Metab 1997;82(1):281-286.",,reported,human,both,claude-session6,2026-08-25,"STRUCTURE MARKER, contributes no numeric value to any equation - it records WHY the renal arm is modelled as an endogenous driver at all, which is the claim ADR 0005 rests on. el-Hajj Fuleihan 1997: 11 healthy male volunteers, 36 h baseline followed by 28-40 h of constant routine - enforced wakefulness, strict semirecumbent posture, hourly snacks. Urinary calcium/creatinine, phosphate/creatinine and sodium/creatinine all showed a diurnal rhythm at baseline; the calcium and phosphate rhythms changed character under constant routine WHEREAS THAT OF URINARY SODIUM/CREATININE WAS UNCHANGED. An unmasked rhythm that survives removal of sleep, posture and meal timing is endogenous. CONTRAST WITH THE CARDIOVASCULAR ARM, where the same class of experiment is in open disagreement - see CIRC.CV_MAP.AMPLITUDE. The renal arm's premise is on firmer ground than the cardiovascular arm's, which is the reverse of what the placeholder parameters implied."
CV.HR.NOMINAL,"Resting heart rate, supine",HR0,1/min,62.0,sd,8.9,cardiovascular,B,"Gonzales TI, Jeon JY, Lindsay T, Westgate K, Perez-Pozuelo I, Hollidge S, Wijndaele K, Rennie K, Forouhi N, Griffin S, Wareham N, Brage S. Resting heart rate is a population-level biomarker of cardiorespiratory fitness: the Fenland Study. PLoS One 2023;18(5):e0285272.",,derived,human,male,claude-session6,2026-08-27,"PRECISION: rounded to 2 significant figures on 2026-08-27. The sources do not support more, and carrying digits that do not exist forced the closure gate and the test suite to chase arithmetic noise. Derived rows inherit the significant figures of their inputs and are rounded to match; the closure tolerance was moved to 1e-3 in the same change, which is still an order of magnitude tighter than the 6% error that motivated that gate. || SUPINE resting heart rate. The Fenland Study reports a POOLED supine mean of 63.5 +/- 8.9 bpm across 10865 adults aged 29-65 (5722 women, 5143 men), and separately that 'on average, RHR was 3 bpm higher in women compared to men'. Solving those two statements with the exact group sizes gives male 61.9201 and female 64.9201. DERIVED, not read off: the paper does not tabulate sex-stratified supine means in the text, so this is arithmetic on two reported quantities. CAVEAT, RECORDED: the 3 bpm sentence says 'RHR' without naming a posture, and the paper reports three (seated 67.6, supine 63.5, sleeping 56.9). It is applied to supine here because supine is the posture this model uses, but if the difference is in fact a seated or pooled-across-posture figure the split is misattributed. The POOLED value is solid; the SPLIT carries this caveat. SUPINE IS THE POSTURE THE MODEL NEEDS: CV.CO.NOMINAL is itself derived from the conventional resting 5 L/min, which is a supine figure. Measured by chest sensor after at least 1 h rest, value taken from the final 3 min of a 6 min recording - a better-defined resting condition than a clinic pulse. COHORT: general population recruited from GP lists in Cambridgeshire, NOT health-screened. Uncertainty carries the POOLED SD; the paper gives no sex-stratified SD. CORROBORATION SEARCHED FOR AND NOT FOUND, recorded so it is not re-searched: three query families over resting heart rate by sex - reference/normal values, sex-differences, and population cohorts - returned risk-association studies (RHR as a predictor of stroke, cancer mortality, atrial fibrillation) rather than reference-value studies reporting sex-stratified resting means. This is a SINGLE-SOURCE pair and pooling.md rule 6 applies: say so, do not dress it as consensus. It is still better than the shared male-nominal value it replaces, because the pairing rule makes the female case explicit rather than implicit."
CV.HR.NOMINAL,"Resting heart rate, supine",HR0,1/min,65.0,sd,8.9,cardiovascular,B,"Gonzales TI, Jeon JY, Lindsay T, Westgate K, Perez-Pozuelo I, Hollidge S, Wijndaele K, Rennie K, Forouhi N, Griffin S, Wareham N, Brage S. Resting heart rate is a population-level biomarker of cardiorespiratory fitness: the Fenland Study. PLoS One 2023;18(5):e0285272.",,derived,human,female,claude-session6,2026-08-27,"PRECISION: rounded to 2 significant figures on 2026-08-27. The sources do not support more, and carrying digits that do not exist forced the closure gate and the test suite to chase arithmetic noise. Derived rows inherit the significant figures of their inputs and are rounded to match; the closure tolerance was moved to 1e-3 in the same change, which is still an order of magnitude tighter than the 6% error that motivated that gate. || SUPINE resting heart rate. The Fenland Study reports a POOLED supine mean of 63.5 +/- 8.9 bpm across 10865 adults aged 29-65 (5722 women, 5143 men), and separately that 'on average, RHR was 3 bpm higher in women compared to men'. Solving those two statements with the exact group sizes gives male 61.9201 and female 64.9201. DERIVED, not read off: the paper does not tabulate sex-stratified supine means in the text, so this is arithmetic on two reported quantities. CAVEAT, RECORDED: the 3 bpm sentence says 'RHR' without naming a posture, and the paper reports three (seated 67.6, supine 63.5, sleeping 56.9). It is applied to supine here because supine is the posture this model uses, but if the difference is in fact a seated or pooled-across-posture figure the split is misattributed. The POOLED value is solid; the SPLIT carries this caveat. SUPINE IS THE POSTURE THE MODEL NEEDS: CV.CO.NOMINAL is itself derived from the conventional resting 5 L/min, which is a supine figure. Measured by chest sensor after at least 1 h rest, value taken from the final 3 min of a 6 min recording - a better-defined resting condition than a clinic pulse. COHORT: general population recruited from GP lists in Cambridgeshire, NOT health-screened. Uncertainty carries the POOLED SD; the paper gives no sex-stratified SD. CORROBORATION SEARCHED FOR AND NOT FOUND, recorded so it is not re-searched: three query families over resting heart rate by sex - reference/normal values, sex-differences, and population cohorts - returned risk-association studies (RHR as a predictor of stroke, cancer mortality, atrial fibrillation) rather than reference-value studies reporting sex-stratified resting means. This is a SINGLE-SOURCE pair and pooling.md rule 6 applies: say so, do not dress it as consensus. It is still better than the shared male-nominal value it replaces, because the pairing rule makes the female case explicit rather than implicit."
CV.SV.NOMINAL,Stroke volume at the nominal operating point,SV0,mL,80.7,none,,cardiovascular,B,Derived from CV.CO.NOMINAL and CV.HR.NOMINAL.,,derived,human,male,claude-session6,2026-08-27,"PRECISION: rounded to 3 significant figures on 2026-08-27. The sources do not support more, and carrying digits that do not exist forced the closure gate and the test suite to chase arithmetic noise. Derived rows inherit the significant figures of their inputs and are rounded to match; the closure tolerance was moved to 1e-3 in the same change, which is still an order of magnitude tighter than the 6% error that motivated that gate. || FULL PRECISION, NOT ROUNDED. Stored at 4 decimal places first, which broke HR0*1440*SV0/1000 == CO0 at 1e-8 and made the two sexes differ by 6.2e-8 mmHg on the salt step - a pure rounding artefact masquerading as a sex difference. Same lesson as ADR 0012 CV.CENTRAL.VOLUME_NOMINAL and ADH.URINE.OSM_BASELINE: a DERIVED row that closes an identity must carry every digit. || DERIVED, and a CLOSURE CONSTRAINT: SV0 = CO0 / (HR0 * 1440). Cardiac output is not sourced per sex - CV.CO.NOMINAL is a shared value - so the dimorphism here is inherited entirely from resting heart rate, and a woman in this model has a SMALLER stroke volume only because her heart rate is higher at the same cardiac output. THAT IS AN ARTEFACT OF WHAT IS SOURCED, NOT A FINDING. Women have lower absolute cardiac output and lower stroke volume in the literature; this model does not yet represent that because CO0 has no sex-specific row. When one is entered, this row is recomputed and check_closure.py will catch it if it is not. Sourcing SV independently as well would OVERDETERMINE the operating point - source one of CO0, HR0, SV0 per sex and derive the third. AND THE LITERATURE SAYS THE DIMORPHISM IS MOSTLY BODY SIZE, NOT THE HEART. Katori 1979 measured resting cardiac output by dye dilution in 151 healthy people (109 male, 42 female) aged 4-78 and reports that for cardiac INDEX and stroke INDEX - both normalised to body surface area - there is NO SIGNIFICANT DIFFERENCE BETWEEN MALES AND FEMALES. Eikendal 2016 (131 healthy adults, cardiac MRI) finds ABSOLUTE cardiac output lower in women, which is consistent: the absolute difference is a size effect. CONSEQUENCE FOR THE MODEL, AND IT IS THE NEXT THING TO BUILD: sex should enter cardiac output through BODY SIZE, not through an intrinsic cardiac parameter. body_mass is currently a hard-coded 70.0 argument and not a ledger row at all, which ADR 0014 flagged as probably the largest single dimorphism in the model. Until that lands, the SV split here is carried entirely by heart rate and understates the real difference."
CV.SV.NOMINAL,Stroke volume at the nominal operating point,SV0,mL,77.0,none,,cardiovascular,B,Derived from CV.CO.NOMINAL and CV.HR.NOMINAL.,,derived,human,female,claude-session6,2026-08-27,"PRECISION: rounded to 3 significant figures on 2026-08-27. The sources do not support more, and carrying digits that do not exist forced the closure gate and the test suite to chase arithmetic noise. Derived rows inherit the significant figures of their inputs and are rounded to match; the closure tolerance was moved to 1e-3 in the same change, which is still an order of magnitude tighter than the 6% error that motivated that gate. || FULL PRECISION, NOT ROUNDED. Stored at 4 decimal places first, which broke HR0*1440*SV0/1000 == CO0 at 1e-8 and made the two sexes differ by 6.2e-8 mmHg on the salt step - a pure rounding artefact masquerading as a sex difference. Same lesson as ADR 0012 CV.CENTRAL.VOLUME_NOMINAL and ADH.URINE.OSM_BASELINE: a DERIVED row that closes an identity must carry every digit. || DERIVED, and a CLOSURE CONSTRAINT: SV0 = CO0 / (HR0 * 1440). Cardiac output is not sourced per sex - CV.CO.NOMINAL is a shared value - so the dimorphism here is inherited entirely from resting heart rate, and a woman in this model has a SMALLER stroke volume only because her heart rate is higher at the same cardiac output. THAT IS AN ARTEFACT OF WHAT IS SOURCED, NOT A FINDING. Women have lower absolute cardiac output and lower stroke volume in the literature; this model does not yet represent that because CO0 has no sex-specific row. When one is entered, this row is recomputed and check_closure.py will catch it if it is not. Sourcing SV independently as well would OVERDETERMINE the operating point - source one of CO0, HR0, SV0 per sex and derive the third. AND THE LITERATURE SAYS THE DIMORPHISM IS MOSTLY BODY SIZE, NOT THE HEART. Katori 1979 measured resting cardiac output by dye dilution in 151 healthy people (109 male, 42 female) aged 4-78 and reports that for cardiac INDEX and stroke INDEX - both normalised to body surface area - there is NO SIGNIFICANT DIFFERENCE BETWEEN MALES AND FEMALES. Eikendal 2016 (131 healthy adults, cardiac MRI) finds ABSOLUTE cardiac output lower in women, which is consistent: the absolute difference is a size effect. CONSEQUENCE FOR THE MODEL, AND IT IS THE NEXT THING TO BUILD: sex should enter cardiac output through BODY SIZE, not through an intrinsic cardiac parameter. body_mass is currently a hard-coded 70.0 argument and not a ledger row at all, which ADR 0014 flagged as probably the largest single dimorphism in the model. Until that lands, the SV split here is carried entirely by heart rate and understates the real difference."
CV.SBP.CENTRAL_NOMINAL,"Central systolic blood pressure, nominal",SBP0,mmHg,109.0,none,,cardiovascular,A,"Gomez-Sanchez M, Gomez-Sanchez L, Patino-Alonso C, Recio-Rodriguez JI, Alonso-Dominguez R, Sanchez-Aguadero N, Sanchez CL, Sanchez ER, Garcia-Ortiz L, Gomez-Marcos MA. Reference values of central blood pressure and central haemodynamic parameters and their relationship with cardiovascular risk factors in a Spanish population: early vascular ageing study. J Hypertens 2021;39(11):2147-2156.",,reported,human,both,claude-session6,2026-08-27,"Central systolic, median. 501 adults WITHOUT cardiovascular disease, random sample stratified by age and sex, mean age 56, 50.3% women, SphygmoCor pulse wave analysis. CENTRAL (aortic) pressure, which is the pressure Chemla's SV/PP relation is defined on - not brachial. The paper reports all parameters greater in men except heart rate and ejection duration, so a male/female pair is available and is NOT entered here: the abstract gives pooled medians only, and a sexed pair must come from sex-stratified values rather than by splitting a median. MEDIAN, not mean - the paper reports medians."
CV.DBP.CENTRAL_NOMINAL,"Central diastolic blood pressure, nominal",DBP0,mmHg,76.0,none,,cardiovascular,A,"Gomez-Sanchez M, Gomez-Sanchez L, Patino-Alonso C, Recio-Rodriguez JI, Alonso-Dominguez R, Sanchez-Aguadero N, Sanchez CL, Sanchez ER, Garcia-Ortiz L, Gomez-Marcos MA. Reference values of central blood pressure and central haemodynamic parameters and their relationship with cardiovascular risk factors in a Spanish population: early vascular ageing study. J Hypertens 2021;39(11):2147-2156.",,reported,human,both,claude-session6,2026-08-27,"Central diastolic, median. 501 adults WITHOUT cardiovascular disease, random sample stratified by age and sex, mean age 56, 50.3% women, SphygmoCor pulse wave analysis. CENTRAL (aortic) pressure, which is the pressure Chemla's SV/PP relation is defined on - not brachial. The paper reports all parameters greater in men except heart rate and ejection duration, so a male/female pair is available and is NOT entered here: the abstract gives pooled medians only, and a sexed pair must come from sex-stratified values rather than by splitting a median. MEDIAN, not mean - the paper reports medians."
CV.PP.CENTRAL_NOMINAL,"Central pulse pressure, nominal",PP0,mmHg,33.0,none,,cardiovascular,A,Derived from CV.SBP.CENTRAL_NOMINAL and CV.DBP.CENTRAL_NOMINAL.,,derived,human,both,claude-session6,2026-08-27,"DERIVED: PP = SBP - DBP = 109 - 76 = 33 mmHg, which reproduces the central pulse pressure of 33 mmHg the paper reports independently. That agreement is a check on the extraction, not a coincidence. Closure constraint."
CV.PULSE.FORM_FACTOR,Fraction of pulse pressure lying BELOW mean pressure,k_form,unitless,0.3333,none,,cardiovascular,C,,,assumed,human,both,claude-session6,2026-08-27,"ASSUMED at the conventional one third, which is the familiar MAP = DBP + PP/3. Discharges the TODO in reconstruct.jl, which carried this as a HARDCODED default of 0.4 and demanded a ledger row before the function was used for anything - directive 1.4 is now satisfied. NAME AND JUSTIFICATION CORRECTED 2026-08-27; THE VALUE IS UNCHANGED AND WAS ALWAYS RIGHT. This row was entered as 'Fraction of pulse pressure lying ABOVE mean pressure', and 0.3333 is the fraction lying BELOW it. Against the tier A central pressures in this same ledger - SBP 109, DBP 76, PP 33, MAP 87 - the fraction above the mean is (109-87)/33 = 0.667 and the fraction below is (87-76)/33 = 0.333. The old note's reasoning was inverted in the same way: it said 'the fraction of pulse pressure above mean must be below 0.5 because diastole is longer than systole', and diastole being longer is exactly why MAP sits NEARER DIASTOLIC, which makes the fraction BELOW the mean the one that must be under 0.5. The 0.515 that exposed the brachial/central mixing was (93-76)/33, a below-mean fraction, so the impossibility argument itself was correct and only its label was wrong. WHY IT MATTERED. check_closure.py uses this row as MAP = DBP + k*PP, i.e. with the CORRECT below-mean meaning, and passes. reconstruct.jl defined its form_factor as the fraction ABOVE the mean and computed SBP = MAP + form_factor*PP. Wiring the ledger row into that function under the shared name 'form factor' would have produced SBP 98.0 and DBP 65.0 against the sourced 109 and 76 - both wrong by PP/3 = 11 mmHg, in opposite directions - and NO GATE WOULD HAVE CAUGHT IT, because the closure check never reaches reconstruct.jl. Found while connecting that file, not by any check. reconstruct.jl now takes k_below explicitly and names the convention in its signature. NOT CONSTANT IN REALITY, and reconstruct.jl calls treating it as constant the single largest error source in the reconstruction: it varies with heart rate, arterial stiffness, disease state, and - as the 87 versus 89.8 discrepancy shows - with measurement site. Source it before any claim about pulse pressure as an endpoint."
CV.ARTERIAL.COMPLIANCE,Total arterial compliance,C_art,mL/mmHg,2.445,none,,cardiovascular,B,Derived from CV.SV.NOMINAL and CV.PP.CENTRAL_NOMINAL; form validated by Chemla 1998.,,derived,human,male,claude-session6,2026-08-27,"DERIVED, NOT SOURCED, AND DELIBERATELY SO. C_art = SV/PP. A wide sweep for a healthy-human total arterial compliance VALUE found none usable: Stergiopulos 1999 gives 0.169 mL/mmHg in SEVEN ANAESTHETISED DOGS, and Chemla 1998's own cohort is 31 catheterisation patients - 7 controls, 10 dilated cardiomyopathy, 14 other cardiac disease - so it validates the estimator rather than supplying a normal value. Deriving from stroke volume and a sourced pulse pressure is better provenance than importing a dog number or a patient mean, and it makes the row a closure constraint that moves when SV or PP move. THE FORM IS SOURCED: Chemla 1998, 31 adults, SV/PP against the area method gave slope 0.99, intercept 0.05, r = 0.98, with slope and intercept not different from unity and zero. That is the form citation for the pulse-pressure relation. WHAT IT IGNORES, per reconstruct.jl: wave reflection, ejection duration, and the pressure-dependence of compliance itself. SEX-SPECIFIC BECAUSE STROKE VOLUME IS. At the same central pulse pressure a smaller stroke volume implies a smaller total arterial compliance - male 80.7/33 = 2.445, female 77/33 = 2.333 mL/mmHg. That is consistent with the rest of the model: women have lower absolute arterial compliance and it is largely a size effect, the same conclusion Katori 1979 reached for cardiac and stroke index. The per-sex closure check caught this - the row was entered from the male stroke volume alone and failed for female by 4.8%."
CV.ARTERIAL.COMPLIANCE,Total arterial compliance,C_art,mL/mmHg,2.333,none,,cardiovascular,B,Derived from CV.SV.NOMINAL and CV.PP.CENTRAL_NOMINAL; form validated by Chemla 1998.,,derived,human,female,claude-session6,2026-08-27,"DERIVED, NOT SOURCED, AND DELIBERATELY SO. C_art = SV/PP. A wide sweep for a healthy-human total arterial compliance VALUE found none usable: Stergiopulos 1999 gives 0.169 mL/mmHg in SEVEN ANAESTHETISED DOGS, and Chemla 1998's own cohort is 31 catheterisation patients - 7 controls, 10 dilated cardiomyopathy, 14 other cardiac disease - so it validates the estimator rather than supplying a normal value. Deriving from stroke volume and a sourced pulse pressure is better provenance than importing a dog number or a patient mean, and it makes the row a closure constraint that moves when SV or PP move. THE FORM IS SOURCED: Chemla 1998, 31 adults, SV/PP against the area method gave slope 0.99, intercept 0.05, r = 0.98, with slope and intercept not different from unity and zero. That is the form citation for the pulse-pressure relation. WHAT IT IGNORES, per reconstruct.jl: wave reflection, ejection duration, and the pressure-dependence of compliance itself. SEX-SPECIFIC BECAUSE STROKE VOLUME IS. At the same central pulse pressure a smaller stroke volume implies a smaller total arterial compliance - male 80.7/33 = 2.445, female 77/33 = 2.333 mL/mmHg. That is consistent with the rest of the model: women have lower absolute arterial compliance and it is largely a size effect, the same conclusion Katori 1979 reached for cardiac and stroke index. The per-sex closure check caught this - the row was entered from the male stroke volume alone and failed for female by 4.8%."
